Numer okręgu;Nazwa;Komisje obwodowe otrzymały kart do głosowania;Liczba wyborców uprawnionych do głosowania;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;W tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych;Robert BIEDROŃ;Krzysztof BOSAK;Andrzej Sebastian DUDA;Szymon Franciszek HOŁOWNIA;Marek JAKUBIAK;Władysław Marcin KOSINIAK-KAMYSZ;Mirosław Mariusz PIOTROWSKI;Paweł Jan TANAJNO;Rafał Kazimierz TRZASKOWSKI;Waldemar Włodzimierz WITKOWSKI;Stanisław Józef ŻÓŁTEK;Liczba obwodów
1;Okręg Wyborczy Nr 1;691610;748855;237463;454164;349;4885;3483;3329;142;2;29;13;3144;457288;3144;43;457245;1573;539;1034;0;455672;10155;27697;191859;64470;698;8448;449;663;149821;500;912;704
2;Okręg Wyborczy Nr 2;464920;506724;168580;296357;336;3762;2681;2580;100;9;47;11;2419;298742;2419;22;298720;1023;323;700;0;297697;6566;17014;120466;41081;394;5622;266;462;104905;330;591;511
3;Okręg Wyborczy Nr 3;897000;999095;228213;668818;383;6357;6928;6592;189;18;44;32;6328;675094;6324;106;674988;1964;700;1264;0;673024;20524;47082;232676;95499;1231;13140;638;1231;257631;1333;2039;732
4;Okręg Wyborczy Nr 4;708168;773591;230880;477279;359;3716;3708;3579;108;5;12;6;3449;480685;3449;19;480666;1296;545;751;0;479370;11256;27860;179620;79948;657;11310;455;670;165962;564;1068;828
5;Okręg Wyborczy Nr 5;743268;806413;263066;480201;437;4115;3843;3716;198;5;54;4;3457;483639;3457;31;483608;1518;474;1044;0;482090;10994;28672;200570;68649;653;12924;457;639;156999;518;1015;825
6;Okręg Wyborczy Nr 6;847649;936080;246663;600977;868;4239;6171;5961;225;4;46;20;5668;606529;5668;61;606468;1925;621;1304;0;604543;10592;49519;331268;64009;1219;17280;1389;838;126251;666;1512;984
7;Okręg Wyborczy Nr 7;682618;743632;246019;436618;901;3841;4097;3954;189;10;29;7;3719;440320;3719;31;440289;1490;469;1021;0;438799;6418;33884;259966;44978;876;14476;879;592;75320;361;1049;922
8;Okręg Wyborczy Nr 8;702418;773526;230341;472088;346;4128;3396;3270;154;10;25;15;3071;475090;3069;99;474991;1542;488;1054;0;473449;10413;28743;161894;84590;686;9583;405;756;174894;572;913;720
9;Okręg Wyborczy Nr 9;556133;603758;150962;405282;205;3006;3727;3510;47;4;13;3;3448;408657;3448;165;408492;1291;509;782;0;407201;12385;23672;134235;58675;648;7369;376;696;167436;714;995;430
10;Okręg Wyborczy Nr 10;517989;565088;150214;367760;433;2225;3144;3022;113;4;47;5;2857;370596;2857;22;370574;1188;443;745;0;369386;6627;24707;207609;43226;700;9892;446;482;74447;423;827;526
11;Okręg Wyborczy Nr 11;682499;762172;198062;484421;546;2937;4655;4517;167;3;28;10;4311;488686;4311;26;488660;1640;562;1078;0;487020;10010;29380;247341;61393;795;13984;500;646;121326;566;1079;777
12;Okręg Wyborczy Nr 12;457650;507549;121471;336192;195;1887;4652;4503;162;5;29;10;4299;340456;4296;29;340427;988;314;674;0;339439;5314;26431;177279;40584;557;8446;323;434;78884;351;836;444
13;Okręg Wyborczy Nr 13;864754;952609;203574;661266;462;6570;8734;8465;171;13;47;23;8226;669255;8192;171;669084;1600;614;986;0;667484;19580;49840;256829;94721;1391;19259;624;940;220398;1399;2503;795
14;Okręg Wyborczy Nr 14;563916;621410;162216;401704;326;8691;4571;4456;195;9;43;14;4196;405848;4195;29;405819;1184;397;787;0;404635;4367;32533;261686;33717;640;8885;431;357;60889;291;839;632
15;Okręg Wyborczy Nr 15;588046;650783;176253;411786;376;2012;5006;4854;165;12;44;19;4616;416407;4616;19;416388;1177;375;802;0;415211;5769;32503;235690;42756;711;16866;426;451;78732;384;923;625
16;Okręg Wyborczy Nr 16;590316;649363;192159;398165;571;2498;2703;2618;106;6;12;7;2487;400615;2487;30;400585;1421;444;977;0;399164;6616;24263;214121;43943;910;13363;378;478;93863;402;827;686
17;Okręg Wyborczy Nr 17;487920;554594;131979;355932;488;2204;3240;3103;105;1;22;8;2967;358879;2966;21;358858;1334;417;917;0;357524;5222;24808;209644;35011;683;10433;336;438;69904;363;682;529
18;Okręg Wyborczy Nr 18;681763;752012;191441;490334;692;3864;3851;3716;175;3;28;11;3504;493824;3502;67;493757;1812;498;1314;0;491945;6639;36098;291956;52104;1017;14457;639;595;86853;436;1151;813
19;Okręg Wyborczy Nr 19;1262873;1753680;219373;1040983;446;16573;357011;310796;11702;251;550;373;297978;1338469;297677;774;1337695;2821;1156;1665;0;1334874;50261;84568;340372;187336;3045;21486;1378;2322;636751;3916;3439;945
20;Okręg Wyborczy Nr 20;726268;862690;106529;619719;365;6570;6535;6248;206;7;45;14;5978;625603;5981;179;625424;2026;615;1411;0;623398;13059;39300;249556;90108;1449;12924;782;1017;212585;1011;1607;659
21;Okręg Wyborczy Nr 21;695988;772390;262105;433877;375;2498;4282;4154;146;3;39;3;3963;437810;3963;35;437775;1424;467;957;0;436351;8039;26661;176552;72609;702;10146;440;622;139125;536;919;871
22;Okręg Wyborczy Nr 22;615391;698127;192418;422988;643;5411;5062;4708;172;13;72;17;4436;427369;4428;32;427337;1199;397;802;0;426138;6170;34910;264060;38007;700;11562;424;382;68783;336;804;827
23;Okręg Wyborczy Nr 23;886644;986561;252725;633936;616;3088;6994;6768;236;23;63;18;6429;640292;6427;45;640247;1826;628;1198;0;638421;8632;60440;382043;62735;1247;15725;777;740;104006;539;1537;992
24;Okręg Wyborczy Nr 24;834534;920327;283709;550864;773;5753;5013;4856;153;13;31;12;4647;555483;4648;53;555430;1713;516;1197;0;553717;8746;42823;280113;92088;1024;11681;602;747;114076;518;1299;964
25;Okręg Wyborczy Nr 25;753170;836308;209036;544167;315;9997;4511;4334;143;6;17;14;4154;548218;4154;123;548095;1526;561;965;0;546569;14366;33812;172382;87815;819;10241;568;886;223373;886;1421;626
26;Okręg Wyborczy Nr 26;837814;960114;212402;625442;346;22206;4673;4515;183;17;30;11;4278;629600;4274;69;629531;1908;673;1235;0;627623;15789;39166;224787;101575;883;12159;642;909;229633;785;1295;771
27;Okręg Wyborczy Nr 27;565203;645958;135860;429234;378;4247;6752;6550;213;15;126;12;6200;435308;6199;43;435265;1138;376;762;0;434127;8267;31875;195060;68889;762;8216;537;609;118487;475;950;523
28;Okręg Wyborczy Nr 28;421442;466672;124196;297249;273;1935;2898;2774;97;2;23;3;2653;299876;2653;11;299865;895;314;581;0;298970;6444;18592;134581;43517;464;7349;316;466;86185;356;700;435
29;Okręg Wyborczy Nr 29;530605;573708;184465;346131;199;2021;3693;3559;87;4;34;8;3427;349539;3424;52;349487;1166;391;775;0;348321;8241;24986;130629;57717;558;6548;405;591;117254;528;864;448
30;Okręg Wyborczy Nr 30;502410;553637;159538;340569;146;1186;9359;9037;357;33;174;27;8485;349033;8488;77;348956;967;397;570;0;347989;5948;28669;159097;52948;584;5844;402;582;92699;398;818;410
31;Okręg Wyborczy Nr 31;671939;730212;202737;469190;285;2625;4867;4613;162;12;47;4;4389;473548;4388;42;473506;1419;498;921;0;472087;12476;32518;178256;74189;742;8329;518;825;162191;759;1284;558
32;Okręg Wyborczy Nr 32;487360;529994;148868;338493;244;1890;2893;2756;69;10;21;12;2644;341125;2643;37;341088;880;347;533;0;340208;9844;21765;128928;49195;491;6857;282;482;120992;549;823;429
33;Okręg Wyborczy Nr 33;908197;991408;297440;610725;1037;4153;5299;5106;134;13;35;9;4923;615589;4926;35;615554;1914;696;1218;0;613640;10728;42544;343752;62383;1018;19494;614;668;130670;555;1214;989
34;Okręg Wyborczy Nr 34;415129;482849;144834;270285;256;2884;1514;1477;56;4;9;4;1406;271660;1406;16;271644;973;270;703;0;270671;5547;16603;115590;39935;415;6912;248;363;84223;325;510;454
35;Okręg Wyborczy Nr 35;551890;629486;190233;361678;323;10286;2400;2311;85;2;13;3;2211;363849;2210;50;363799;1278;363;915;0;362521;8478;25762;138341;53663;647;8777;377;596;124699;430;751;661
36;Okręg Wyborczy Nr 36;704401;779146;221332;483067;300;2380;8168;7962;343;6;67;14;7535;490560;7538;19;490541;1395;539;856;0;489146;9597;32569;216218;73293;778;14263;479;696;139541;661;1051;688
37;Okręg Wyborczy Nr 37;512046;561177;162475;349585;264;2049;2495;2417;97;5;5;8;2303;351865;2302;23;351842;993;395;598;0;350849;6841;19988;173397;50484;497;8510;304;442;89261;394;731;485
38;Okręg Wyborczy Nr 38;548679;599733;175869;372804;281;2600;2413;2329;69;5;12;5;2238;375015;2237;16;374999;1065;394;671;0;373934;7676;22159;138670;69141;521;10829;390;500;122705;631;712;517
39;Okręg Wyborczy Nr 39;640816;710819;126103;514752;223;4759;5383;5108;119;44;30;22;4897;519578;4898;262;519316;1201;501;700;0;518115;16532;29565;126535;94637;700;9683;496;826;236266;1504;1371;457
40;Okręg Wyborczy Nr 40;432420;510955;129248;303153;251;17033;2260;2172;127;4;26;8;2008;305084;2008;21;305063;1056;321;735;0;304007;7989;15917;110820;47761;433;6856;258;447;112641;322;563;461
41;Okręg Wyborczy Nr 41;735134;810011;228992;506151;360;13729;4154;3981;144;10;29;5;3796;509905;3793;92;509813;1667;553;1114;0;508146;13673;29495;176508;79496;778;9879;452;875;195217;719;1054;662
