Kod;Nazwa;ludność;
0000000;POLSKA;37766327;
0200000;DOLNOŚLĄSKIE;2888033;
0201000;Powiat bolesławiecki;87922;
0202000;Powiat dzierżoniowski;95863;
0203000;Powiat głogowski;85689;
0204000;Powiat górowski;32738;
0205000;Powiat jaworski;47584;
0206000;Powiat karkonoski;61016;
0207000;Powiat kamiennogórski;40786;
0208000;Powiat kłodzki;148681;
0209000;Powiat legnicki;55032;
0210000;Powiat lubański;51886;
0211000;Powiat lubiński;103426;
0212000;Powiat lwówecki;43157;
0213000;Powiat milicki;35826;
0214000;Powiat oleśnicki;106481;
0215000;Powiat oławski;77300;
0216000;Powiat polkowicki;61308;
0217000;Powiat strzeliński;41990;
0218000;Powiat średzki DOL;58508;
0219000;Powiat świdnicki DOL;151248;
0220000;Powiat trzebnicki;87287;
0221000;Powiat wałbrzyski;53115;
0222000;Powiat wołowski;45728;
0223000;Powiat wrocławski;182778;
0224000;Powiat ząbkowicki;61087;
0225000;Powiat zgorzelecki;85898;
0226000;Powiat złotoryjski;40929;
0261000;Powiat m. Jelenia Góra;75794;
0262000;Powiat m. Legnica;93040;
0264000;Powiat m. Wrocław;674079;
0265000;Powiat m. Wałbrzych od 2013;101857;
0400000;KUJAWSKO-POMORSKIE;2006876;
0401000;Powiat aleksandrowski;53736;
0402000;Powiat brodnicki;78057;
0403000;Powiat bydgoski;125436;
0404000;Powiat chełmiński;49562;
0405000;Powiat golubsko-dobrzyński;43547;
0406000;Powiat grudziądzki;39162;
0407000;Powiat inowrocławski;151925;
0408000;Powiat lipnowski;63051;
0409000;Powiat mogileński;43853;
0410000;Powiat nakielski;83148;
0411000;Powiat radziejowski;38173;
0412000;Powiat rypiński;41404;
0413000;Powiat sępoleński;39218;
0414000;Powiat świecki;95359;
0415000;Powiat toruński;113565;
0416000;Powiat tucholski;47109;
0417000;Powiat wąbrzeski;32756;
0418000;Powiat włocławski;82599;
0419000;Powiat żniński;67936;
0461000;Powiat m. Bydgoszcz;330038;
0462000;Powiat m. Grudziądz;89450;
0463000;Powiat m. Toruń;195690;
0464000;Powiat m. Włocławek;102102;
0600000;LUBELSKIE;2024637;
0601000;Powiat bialski;105530;
