"Siedziba OKW";"Numer okręgu";"Liczba mandatów";"Liczba list";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Opis granic"
"Legnica";"1";"12";"6";"142";"927450";"752171";"bolesławiecki, głogowski, jaworski, jeleniogórski, kamiennogórski, legnicki, lubański, lubiński, lwówecki, polkowicki, zgorzelecki, złotoryjski, Jelenia Góra, Legnica"
"Wałbrzych";"2";"8";"6";"94";"616381";"509179";"dzierżoniowski, kłodzki, świdnicki DOL, wałbrzyski, ząbkowicki, Wałbrzych"
"Wrocław";"3";"14";"6";"167";"1201333";"993744";"górowski, milicki, oleśnicki, oławski, strzeliński, średzki DOL, trzebnicki, wołowski, wrocławski, Wrocław"
"Bydgoszcz";"4";"12";"6";"137";"962756";"776937";"bydgoski, inowrocławski, mogileński, nakielski, sępoleński, świecki, tucholski, żniński, Bydgoszcz"
"Toruń";"5";"13";"6";"147";"1004212";"806830";"aleksandrowski, brodnicki, chełmiński, golubsko-dobrzyński, grudziądzki, lipnowski, radziejowski, rypiński, toruński, wąbrzeski, włocławski, Grudziądz, Toruń, Włocławek"
"Lublin";"6";"15";"6";"178";"1162325";"934842";"janowski, kraśnicki, lubartowski, lubelski, łęczyński, łukowski, opolski LUB, puławski, rycki, świdnicki LUB, Lublin"
"Chełm";"7";"12";"6";"137";"921533";"744316";"bialski, biłgorajski, chełmski, hrubieszowski, krasnostawski, parczewski, radzyński, tomaszowski LUB, włodawski, zamojski, Biała Podlaska, Chełm, Zamość"
"Zielona Góra";"8";"12";"5";"120";"966936";"774572";"województwo lubuskie"
"Łódź";"9";"10";"5";"99";"727012";"608784";"brzeziński, łódzki wschodni, Łódź"
"Piotrków Trybunalski";"10";"9";"5";"89";"707006";"565695";"bełchatowski, opoczyński, piotrkowski, radomszczański, rawski, skierniewicki, tomaszowski ŁÓD, Piotrków Trybunalski, Skierniewice"
"Sieradz";"11";"12";"6";"142";"938713";"764585";"kutnowski, łaski, łęczycki, łowicki, pabianicki, pajęczański, poddębicki, sieradzki, wieluński, wieruszowski, zduńskowolski, zgierski"
"Kraków";"12";"8";"5";"80";"639580";"506754";"chrzanowski, myślenicki, oświęcimski, suski, wadowicki"
"Kraków";"13";"14";"7";"185";"1142182";"942910";"krakowski, miechowski, olkuski, Kraków"
"Nowy Sącz";"14";"10";"5";"99";"796128";"611315";"gorlicki, limanowski, nowosądecki, nowotarski, tatrzański, Nowy Sącz"
"Tarnów";"15";"9";"5";"89";"734251";"579410";"bocheński, brzeski, dąbrowski, proszowicki, tarnowski, wielicki, Tarnów"
"Płock";"16";"10";"6";"120";"810040";"650099";"ciechanowski, gostyniński, mławski, płocki, płoński, przasnyski, sierpecki, sochaczewski, żuromiński, żyrardowski, Płock"
"Radom";"17";"9";"7";"117";"693328";"555311";"białobrzeski, grójecki, kozienicki, lipski, przysuski, radomski, szydłowiecki, zwoleński, Radom"
"Siedlce";"18";"12";"7";"164";"950519";"750377";"garwoliński, łosicki, makowski, miński, ostrołęcki, ostrowski MAZ, pułtuski, siedlecki, sokołowski, węgrowski, wyszkowski, Ostrołęka, Siedlce"
"Warszawa";"19";"20";"5";"199";"1674506";"1701541";"Warszawa, zagranica, statki"
"Warszawa";"20";"12";"6";"142";"1088736";"850607";"grodziski MAZ, legionowski, nowodworski MAZ, otwocki, piaseczyński, pruszkowski, warszawski zachodni, wołomiński"
"Opole";"21";"12";"6";"138";"942438";"777045";"województwo opolskie"
"Krosno";"22";"11";"5";"110";"867709";"697290";"bieszczadzki, brzozowski, jarosławski, jasielski, krośnieński PODK, leski, lubaczowski, przemyski, przeworski, sanocki, Krosno, Przemyśl"
"Rzeszów";"23";"15";"6";"168";"1241140";"984494";"dębicki, kolbuszowski, leżajski, łańcucki, mielecki, niżański, ropczycko-sędziszowski, rzeszowski, stalowowolski, strzyżowski, tarnobrzeski, Rzeszów, Tarnobrzeg"
"Białystok";"24";"14";"8";"201";"1146820";"919130";"województwo podlaskie"
"Gdańsk";"25";"12";"5";"120";"1019416";"823001";"gdański, kwidzyński, malborski, nowodworski POM, starogardzki, sztumski, tczewski, Gdańsk, Sopot"
"Słupsk";"26";"14";"5";"140";"1191547";"928375";"bytowski, chojnicki, człuchowski, kartuski, kościerski, lęborski, pucki, słupski, wejherowski, Gdynia, Słupsk"
"Bielsko-Biała";"27";"9";"5";"89";"756291";"600746";"bielski, cieszyński, pszczyński, żywiecki, Bielsko-Biała"
"Częstochowa";"28";"7";"6";"83";"571505";"468926";"częstochowski, kłobucki, lubliniecki, myszkowski, Częstochowa"
"Katowice";"29";"9";"6";"108";"708574";"579766";"gliwicki, tarnogórski, Bytom, Gliwice, Zabrze"
"Bielsko-Biała";"30";"9";"6";"101";"694520";"557344";"mikołowski, raciborski, rybnicki, wodzisławski, Jastrzębie-Zdrój, Rybnik, Żory"
"Katowice";"31";"12";"5";"116";"900207";"738167";"bieruńsko-lędziński, Chorzów, Katowice, Mysłowice, Piekary Śląskie, Ruda Śląska, Siemianowice Śląskie, Świętochłowice, Tychy"
"Katowice";"32";"9";"5";"88";"646008";"535867";"będziński, zawierciański, Dąbrowa Górnicza, Jaworzno, Sosnowiec"
"Kielce";"33";"16";"7";"210";"1222607";"997692";"województwo świętokrzyskie"
"Elbląg";"34";"8";"6";"88";"605892";"482772";"bartoszycki, braniewski, działdowski, elbląski, iławski, lidzbarski, nowomiejski, ostródzki, Elbląg"
