Kod;Nazwa;powierzchnia;
0000000;POLSKA;312720;
0200000;DOLNOŚLĄSKIE;19947;
0201000;Powiat bolesławiecki;1303;
0202000;Powiat dzierżoniowski;479;
0203000;Powiat głogowski;443;
0204000;Powiat górowski;738;
0205000;Powiat jaworski;581;
0206000;Powiat karkonoski;627;
0207000;Powiat kamiennogórski;396;
0208000;Powiat kłodzki;1643;
0209000;Powiat legnicki;744;
0210000;Powiat lubański;428;
0211000;Powiat lubiński;712;
0212000;Powiat lwówecki;710;
0213000;Powiat milicki;715;
0214000;Powiat oleśnicki;1049;
0215000;Powiat oławski;524;
0216000;Powiat polkowicki;780;
0217000;Powiat strzeliński;622;
0218000;Powiat średzki DOL;704;
0219000;Powiat świdnicki DOL;741;
0220000;Powiat trzebnicki;1025;
0221000;Powiat wałbrzyski;430;
0222000;Powiat wołowski;675;
0223000;Powiat wrocławski;1118;
0224000;Powiat ząbkowicki;802;
0225000;Powiat zgorzelecki;839;
0226000;Powiat złotoryjski;576;
0261000;Powiat m. Jelenia Góra;109;
0262000;Powiat m. Legnica;56;
0264000;Powiat m. Wrocław;293;
0265000;Powiat m. Wałbrzych od 2013;85;
0400000;KUJAWSKO-POMORSKIE;17972;
0401000;Powiat aleksandrowski;475;
0402000;Powiat brodnicki;1040;
0403000;Powiat bydgoski;1394;
0404000;Powiat chełmiński;527;
0405000;Powiat golubsko-dobrzyński;613;
0406000;Powiat grudziądzki;729;
0407000;Powiat inowrocławski;1225;
0408000;Powiat lipnowski;1017;
0409000;Powiat mogileński;675;
0410000;Powiat nakielski;1120;
0411000;Powiat radziejowski;607;
0412000;Powiat rypiński;587;
0413000;Powiat sępoleński;791;
0414000;Powiat świecki;1474;
0415000;Powiat toruński;1230;
0416000;Powiat tucholski;1075;
0417000;Powiat wąbrzeski;501;
0418000;Powiat włocławski;1472;
0419000;Powiat żniński;985;
0461000;Powiat m. Bydgoszcz;176;
0462000;Powiat m. Grudziądz;58;
0463000;Powiat m. Toruń;116;
0464000;Powiat m. Włocławek;85;
0600000;LUBELSKIE;25122;
0601000;Powiat bialski;2754;
0602000;Powiat biłgorajski;1681;
0603000;Powiat chełmski;1886;
0604000;Powiat hrubieszowski;1270;
0605000;Powiat janowski;875;
0606000;Powiat krasnostawski;1032;
0607000;Powiat kraśnicki;1005;
0608000;Powiat lubartowski;1289;
0609000;Powiat lubelski;1680;
0610000;Powiat łęczyński;637;
0611000;Powiat łukowski;1394;
0612000;Powiat opolski;811;
0613000;Powiat parczewski;952;
0614000;Powiat puławski;934;
0615000;Powiat radzyński;965;
0616000;Powiat rycki;614;
0617000;Powiat świdnicki LUB;468;
0618000;Powiat tomaszowski LUB;1487;
0619000;Powiat włodawski;1256;
0620000;Powiat zamojski;1870;
0661000;Powiat m. Biała Podlaska;49;
0662000;Powiat m. Chełm;35;
0663000;Powiat m. Lublin;148;
0664000;Powiat m. Zamość;30;
0800000;LUBUSKIE;13988;
0801000;Powiat gorzowski;1214;
0802000;Powiat krośnieński;1390;
0803000;Powiat międzyrzecki;1388;
0804000;Powiat nowosolski;771;
0805000;Powiat słubicki;999;
0806000;Powiat strzelecko-drezdenecki;1248;
0807000;Powiat sulęciński;1178;
0808000;Powiat świebodziński;937;
0809000;Powiat zielonogórski;1351;
0810000;Powiat żagański;1131;
0811000;Powiat żarski;1393;
0812000;Powiat wschowski;624;
0861000;Powiat m. Gorzów Wielkopolski;86;
0862000;Powiat m. Zielona Góra;278;
1000000;ŁÓDZKIE;18218;
1001000;Powiat bełchatowski;968;
1002000;Powiat kutnowski;887;
1003000;Powiat łaski;618;
1004000;Powiat łęczycki;773;
1005000;Powiat łowicki;988;
1006000;Powiat łódzki wschodni;500;
1007000;Powiat opoczyński;1040;
1008000;Powiat pabianicki;492;
1009000;Powiat pajęczański;804;
1010000;Powiat piotrkowski;1428;
1011000;Powiat poddębicki;881;
1012000;Powiat radomszczański;1443;
1013000;Powiat rawski;646;
1014000;Powiat sieradzki;1491;
1015000;Powiat skierniewicki;753;
1016000;Powiat tomaszowski ŁÓD;1025;
1017000;Powiat wieluński;926;
1018000;Powiat wieruszowski;577;
1019000;Powiat zduńskowolski;369;
1020000;Powiat zgierski;855;
1021000;Powiat brzeziński;359;
1061000;Powiat m. Łódź;293;
1062000;Powiat m. Piotrków Trybunalski;67;
1063000;Powiat m. Skierniewice;35;
1200000;MAŁOPOLSKIE;15184;
1201000;Powiat bocheński;649;
1202000;Powiat brzeski;591;
1203000;Powiat chrzanowski;370;
1204000;Powiat dąbrowski;530;
1205000;Powiat gorlicki;966;
1206000;Powiat krakowski;1230;
1207000;Powiat limanowski;951;
1208000;Powiat miechowski;676;
1209000;Powiat myślenicki;673;
1210000;Powiat nowosądecki;1550;
1211000;Powiat nowotarski;1475;
1212000;Powiat olkuski;618;
1213000;Powiat oświęcimski;406;
1214000;Powiat proszowicki;415;
1215000;Powiat suski;686;
1216000;Powiat tarnowski;1412;
1217000;Powiat tatrzański;472;
1218000;Powiat wadowicki;646;
1219000;Powiat wielicki;411;
1261000;Powiat m. Kraków;327;
1262000;Powiat m. Nowy Sącz;58;
1263000;Powiat m. Tarnów;72;
1400000;MAZOWIECKIE;35559;
1401000;Powiat białobrzeski;639;
1402000;Powiat ciechanowski;1060;
1403000;Powiat garwoliński;1285;
1404000;Powiat gostyniński;615;
1405000;Powiat grodziski MAZ;367;
1406000;Powiat grójecki;1268;
1407000;Powiat kozienicki;916;
1408000;Powiat legionowski;391;
1409000;Powiat lipski;740;
1410000;Powiat łosicki;772;
1411000;Powiat makowski;1065;
1412000;Powiat miński;1164;
1413000;Powiat mławski;1182;
1414000;Powiat nowodworski MAZ;695;
1415000;Powiat ostrołęcki;2093;
1416000;Powiat ostrowski MAZ;1218;
1417000;Powiat otwocki;616;
1418000;Powiat piaseczyński;621;
1419000;Powiat płocki;1797;
1420000;Powiat płoński;1380;
1421000;Powiat pruszkowski;246;
1422000;Powiat przasnyski;1219;
1423000;Powiat przysuski;801;
1424000;Powiat pułtuski;827;
1425000;Powiat radomski;1530;
1426000;Powiat siedlecki;1603;
1427000;Powiat sierpecki;852;
1428000;Powiat sochaczewski;735;
1429000;Powiat sokołowski;1131;
1430000;Powiat szydłowiecki;452;
1432000;Powiat warszawski zachodni;534;
1433000;Powiat węgrowski;1220;
1434000;Powiat wołomiński;954;
1435000;Powiat wyszkowski;877;
1436000;Powiat zwoleński;573;
1437000;Powiat żuromiński;807;
1438000;Powiat żyrardowski;532;
1461000;Powiat m. Ostrołęka;33;
1462000;Powiat m. Płock;88;
1463000;Powiat m. Radom;112;
1464000;Powiat m. Siedlce;32;
1465000;Powiat m. st. Warszawa;517;
1600000;OPOLSKIE;9411;
1601000;Powiat brzeski;876;
1602000;Powiat głubczycki;673;
1603000;Powiat kędzierzyńsko-kozielski;625;
1604000;Powiat kluczborski;852;
1605000;Powiat krapkowicki;442;
1606000;Powiat namysłowski;748;
1607000;Powiat nyski;1224;
1608000;Powiat oleski;973;
1609000;Powiat opolski;1534;
1610000;Powiat prudnicki;571;
